slug,total_downloads,rating_user,num_reviewers,plugin_age_since_release,last_update_year,freq_update_per_year,wp_requires,wp_tested,support_response_rate,open_issues,num_files,num_php_files,loc,plugin_size_kb,vulnerable
a11y-buttons,3473,100,1,3,1,1,6.4,6.8.3,0,0,43,6,474,484.95,0
related-videos-for-jw-player,6791,0,0,10,1,1,4,6.9.1,0,0,11,2,175,370.15,1
google-website-optimizer-for-wordpress,27095,0,0,17,14,0.071,3.0.0,3.3.2,0,0,6,1,180,22.46,0
smart-maintenance-mode,57500,64,15,11,1,1,3,6.8.3,0,0,40,3,780,314.36,1
easy-share-solution,39197,100,1,10,1,1,6,6.9.1,0,0,68,19,8531,2846.8,0
jquery-slider,48995,100,3,14,13,0.077,2.8,3.4.2,0,0,80,3,1366,2245.02,0
vk-filter-search,152068,100,3,5,1,1,5.7,6.9.1,0,0,95,19,3028,942.28,1
display-live-visitors-counter,5003,100,1,5,5,0.2,5,5.4.18,0,0,2,1,239,13.34,0
betterdocs,2331652,96,480,6,1,1,5,6.9.1,0.86,1,1114,729,120333,31717.21,1
advanced-image-hover-effect-for-elementor,29859,100,3,5,1,1,5.7.0,6.9.1,0,0,17,10,1954,178.21,0
wp-easy-contact,21437,100,4,11,1,1,4.5,6.8.3,0,0,269,102,24858,2748.37,1
ui-for-wp-simple-paypal-shopping-cart,38988,100,4,14,11,0.091,2.6,4.0.38,0,0,30,6,1948,242.65,0
login-logo,495663,98,62,15,1,1,5.1.2,6.6.4,0,0,4,1,184,67.59,0
seo-automated-link-building,198882,96,33,7,1,1,5,6.8.3,0.5,1,281,195,58260,4225.13,1
ims-countdown,7917,100,1,8,1,1,3.0.1,6.8.3,0,0,56,17,1572,1574.62,1
copyscape-premium,52833,64,10,12,1,1,3.0.1,6.9.1,0,0,4,1,674,60.85,1
wp-ultimate-exporter,454646,66,15,10,1,1,5,6.9.1,1,0,30,19,10531,957.36,1
dashi,14414,0,0,8,1,1,False,6.9.0,0,0,66,50,10547,500.84,1
columnizer,6223,80,3,13,13,0.077,3,3.4.2,0,0,5,1,74,20.05,0
random-page-redirect-for-wordpress,3582,100,1,13,9,0.111,4.0.0,4.5.0,0,0,2,1,32,2.28,0
material-design-icons-for-elementor,103469,100,5,6,1,1,4.7,6.5.7,0,0,135,37,2181,3910.45,1
cf7-smtp,5923,80,2,3,1,1,5.5,6.9.1,0.67,1,53,36,4717,453.18,0
make-clickable-tweet,1864,0,0,13,13,0.077,2.7,3.3.2,0,0,2,1,14,2.45,0
local-google-fonts,784269,92,83,3,1,1,4.6,6.8.3,0.5,1,10,6,783,45.64,0
block-ecommerce-assets-via-robots-txt,2844,0,0,5,2,0.5,4.0.1,6.3.7,0,0,5,1,55,21.62,0
my-favorites,16953,100,15,5,1,1,4.8,6.9.1,0.5,1,22,7,449,73.76,1
plugin-load-filter,179818,96,52,10,1,1,6,6.9.1,0,1,9,2,2603,282.1,0
qrmenu-lite,4288,20,1,2,1,1,4.6,6.8.3,0,0,477,84,17391,18626.45,1
woocommerce-product-addon,1438778,90,277,10,1,1,3.5,6.9.1,1,0,336,142,34549,6057.73,1
autoship-cloud,46656,92,37,8,1,1,4.6,6.9.1,0,0,627,373,83721,17366.36,1
check-email,2575214,96,280,15,1,1,5,6.9.1,0,0,416,303,50441,3007.83,1
cm-invitation-codes,31861,76,8,13,1,1,5.4.0,6.9.1,0,0,183,83,12396,3257.53,1
woo-product-variation-swatches,376163,94,54,7,1,1,4.8,6.9.1,0,0,56,29,5007,667.61,1
wordpress-database-reset,1492643,90,77,14,1,1,4.2,6.9.1,0,0,32,15,1314,259.47,1
skyboot-custom-icons-for-elementor,808759,100,19,5,1,1,5.9,6.8.3,1,0,119,22,16280,21391.18,0
plugin-notes-plus,75053,100,61,8,1,1,6.2,6.7.4,0,1,18,12,1111,83.26,1
simplepage-sync-landing-page-for-web,7099,100,1,5,4,0.25,4.6,5.8.12,0,0,10,3,440,75.64,0
luckywp-cookie-notice-gdpr,39041,100,57,7,1,1,4.7,6.7.4,0,0,48,39,2984,138.23,0
stripe,832393,88,116,11,1,1,5.9,6.8.3,0,1,1349,981,124717,8195.29,0
wp-quick-post-duplicator,21700,60,2,5,1,1,3,6.8.3,0,0,4,2,169,25.42,1
wp-data-logger,6513,100,3,7,1,1,3.5,6.8.3,0,0,4,2,356,15.48,1
rating-block,2754,0,0,5,4,0.25,5.3.2,5.8.12,0,0,14,2,58,54.38,0
seo-help,15604,0,0,9,1,1,4.6,6.9.1,0,0,86,31,16404,8826.29,1
wppizza,207090,100,55,12,1,1,3.3,6.8.3,0,0,440,200,70985,9259.35,1
pricing-tables,8240,80,4,11,9,0.111,3.8,4.6.30,0,0,37,4,1564,2168.54,0
multiple-location-google-map,13354,100,4,9,9,0.111,3.5,4.5.33,0,0,61,14,772,4405.56,1
smart-agreements,2673,0,0,2,1,1,5.5,6.9.1,0,0,330,221,76328,11067.7,1
sql-chart-builder,31809,78,21,10,1,1,5.0.0,6.7.4,0,0,18,5,1221,477.59,1
pallet-packaging-for-woocommerce,4137,0,0,4,1,1,6.4,6.8.3,0,0,24,13,4166,337,1
smartarget-lucky-wheel,7130,94,3,3,1,1,3.0.1,6.9.1,0,0,22,15,750,1807.15,0
never-moderate-registered-users,9257,86,3,15,1,1,3.1,6.8.3,0,0,7,2,114,42.18,0
grid-shortcodes,24408,100,10,10,1,1,3.6,6.9.1,1,0,5,1,91,13.4,1
no-title-tooltips,12646,86,15,13,10,0.1,2.8,4.3.34,0,0,4,2,36,3,0
media-library-assistant,2535388,96,198,13,1,1,4.7,6.9.1,1,0,473,204,119498,9460.92,1
rccp-free,5164,0,0,6,1,1,6.3.0,6.8.3,0,0,1206,941,105259,12146.82,1
comment-form-validation,4887,90,2,9,5,0.2,4,5.5.17,0,0,6,1,18,98.39,0
code-block-for-elementor,65290,100,8,5,2,0.5,5,6.3.7,0,0,16,3,611,556.35,0
custom-shortcodes,5577,100,1,16,16,0.062,2.0.2,2.7,0,0,2,1,67,4.27,0
