slug,total_downloads,rating_user,num_reviewers,plugin_age_since_release,last_update_year,freq_update_per_year,wp_requires,wp_tested,support_response_rate,open_issues,num_files,num_php_files,loc,plugin_size_kb,vulnerable
push-notification-for-post-and-buddypress,31049,94,24,6,1,1,6.2,6.9.1,0,2,1587,1404,205173,11909.72,1
speedsize-ai-image-optimizer,10660,0,0,3,1,1,5,6.8.3,0,0,16,13,3036,160.46,1
wemanage-app-worker,15594,80,9,3,1,1,4.5,6.6.0,0,0,41,26,7158,538.56,1
wappointment,75388,94,50,6,1,1,5.5,6.9.1,0,2,3637,3536,289303,15926.92,1
restrict-user-access,617469,86,94,10,1,1,5.8,6.8.3,0,2,344,273,65822,3955.36,1
bus-ticket-booking-with-seat-reservation,63955,98,40,7,1,1,4.5,6.9.1,0.75,1,143,69,17132,4447.43,1
wp-login-and-logout-redirect,60414,96,5,5,1,1,5.8,6.9.1,0,0,26,17,1494,61.7,1
indigitall-web-push-notifications,14173,96,12,7,1,1,4,6.9.1,0,0,432,73,10936,2804.33,1
cleanup-light,2125,100,2,2,1,1,4.9,6.7.4,0,0,996,616,116887,25273.85,1
kredeum-nfts,16448,100,4,4,1,1,5,6.7.4,0,0,405,233,58397,13229.03,1
cp-contact-form-with-paypal,284079,76,65,13,1,1,3.0.5,6.9.1,0,1,197,15,4082,2563.12,1
blog-designer-pack,871078,94,73,7,1,1,5.8,6.9.1,0,0,337,226,63217,6323.17,1
wpvivid-backup-mainwp,253859,92,9,6,1,1,4.5,6.9.1,0,1,836,669,139582,7239.18,1
embedded-cdn,3516,0,0,9,1,1,3,6.7.4,0,0,4,1,43,61.15,1
piotnet-addons-for-elementor,698049,66,56,7,1,1,4.7,6.8.3,0,0,71,27,9878,715.69,1
easy-media-replace,20413,80,8,7,2,0.5,4,6.2.8,0,0,25,16,976,252.35,1
fluent-community,97764,96,77,1,1,1,6,6.9.1,1,0,639,535,113217,18725.01,1
ays-facebook-popup-likebox,30898,100,4,9,1,1,4,6.9.1,0,0,60,17,4221,1561.57,1
easy-mls-listings-import,5574,0,0,5,1,1,4,6.7.4,0,0,22,15,845,74.52,1
mail-queue,8071,100,6,4,1,1,5.9,6.9.1,1,0,14,5,1451,249.67,1
simple-staff-list,156505,92,40,13,1,1,3,6.8.0,0,0,57,37,2695,277.67,1
nix-anti-spam-light,5732,74,3,12,11,0.091,3.0.1,3.5.2,0,0,9,6,269,13.08,1
